매물확인방식,보증금,월세,전용면적,해당층,총층,방향,방수,욕실수,주차가능여부,총주차대수,관리비,허위매물여부,매물_HC,매물_DBSCAN,월세+관리비,전용면적_가격_비율,지역_KMedoids,지역_HDBSCAN,계절,매물_등록_경과일
현장확인,12500.0,69.0,27.92,4.0,4.0,동향,1.0,1.0,불가능,43.0,9,0,3,2,78.0,0.00022349570200573063,1,5,가을,119
전화확인,2200.0,70.0,29.7,2.0,3.0,남향,2.0,1.0,불가능,17.0,5,0,6,0,75.0,0.001147842056932966,6,4,겨울,83
현장확인,37900.0,74.0,27.89,4.0,4.0,남동향,1.0,1.0,불가능,11.0,10,0,3,2,84.0,7.946786801900795e-05,2,5,여름,257
서류확인,2800.0,54.0,17.84,5.0,10.0,남향,1.0,1.0,가능,25.0,13,0,2,2,67.0,0.0013412876361306855,7,6,가을,181
현장확인,1350.0,31.0,22.97,5.0,5.0,동향,1.0,1.0,가능,42.0,11,0,3,2,42.0,0.0013544236443670489,7,5,여름,195
현장확인,9250.0,69.0,17.5,4.0,5.0,남서향,1.0,1.0,불가능,17.0,0,0,2,2,69.0,0.0004262548262548262,3,6,가을,110
현장확인,700.0,9.0,41.94,14.0,15.0,남서향,2.0,2.0,불가능,36.0,5,0,4,4,14.0,0.0004768717215069147,0,1,가을,538
현장확인,11700.0,9.0,35.11,6.0,7.0,남동향,1.0,1.0,불가능,30.0,8,0,1,2,17.0,4.138397758449026e-05,5,10,겨울,376
현장확인,2400.0,30.0,29.98,7.0,8.0,남향,2.0,1.0,가능,6.0,9,0,6,0,39.0,0.0005420280186791194,6,7,겨울,43
서류확인,2700.0,15.0,22.87,8.0,8.0,남향,2.0,1.0,가능,17.0,0,0,6,0,15.0,0.0002429189136666181,4,8,여름,201
현장확인,14850.0,8.0,30.37,2.0,3.0,동향,2.0,1.0,불가능,17.0,1,0,6,0,9.0,1.9955897466598817e-05,4,8,겨울,85
현장확인,1600.0,63.0,27.82,1.0,10.0,남향,1.0,1.0,가능,29.0,7,0,3,2,70.0,0.0015726096333572967,7,5,가을,484
현장확인,15550.0,54.0,19.59,6.0,11.0,북서향,2.0,2.0,가능,42.0,0,0,4,3,54.0,0.0001772674226793971,1,1,봄,347
현장확인,14450.0,31.0,21.32,9.0,11.0,남향,1.0,1.0,불가능,28.0,0,0,3,2,31.0,0.00010062517447106865,2,5,겨울,446
서류확인,8850.0,36.0,39.73,8.0,8.0,동향,2.0,1.0,가능,7.0,9,0,5,0,45.0,0.00012798252611910055,4,3,가을,158
서류확인,12750.0,55.0,40.64,5.0,6.0,남향,2.0,1.0,가능,11.0,12,0,5,0,67.0,0.00012930368997992898,4,3,가을,172
현장확인,32150.0,25.0,25.29,6.0,6.0,남서향,1.0,1.0,가능,6.0,10,0,3,2,35.0,4.304653884304433e-05,10,5,가을,109
전화확인,8200.0,33.0,39.73,8.0,8.0,동향,2.0,1.0,가능,7.0,6,0,5,0,39.0,0.00011971048479676843,4,3,겨울,43
서류확인,14050.0,47.0,24.01,10.0,10.0,남서향,2.0,1.0,가능,8.0,2,0,6,0,49.0,0.00014525383106979444,4,8,가을,163
서류확인,1250.0,26.0,28.09,2.0,3.0,북서향,2.0,1.0,불가능,17.0,6,0,6,0,32.0,0.0009113563545745817,6,4,겨울,86
현장확인,35100.0,1.0,18.87,6.0,16.0,동향,1.0,1.0,가능,54.0,22,1,2,2,23.0,3.4725524921603347e-05,5,6,봄,342
현장확인,9750.0,15.0,38.52,1.0,5.0,동향,2.0,2.0,가능,23.0,1,0,4,4,16.0,4.260191176079026e-05,10,0,여름,232
현장확인,1850.0,41.0,31.46,6.0,12.0,남향,1.0,1.0,불가능,11.0,5,0,1,2,46.0,0.000790364426728063,8,9,겨울,90
서류확인,1850.0,10.0,25.88,1.0,2.0,남서향,1.0,1.0,불가능,36.0,12,0,3,2,22.0,0.00045950123229875935,0,5,겨울,450
현장확인,12950.0,5.0,28.89,4.0,8.0,남동향,2.0,1.0,가능,8.0,7,0,6,0,12.0,3.207479842993862e-05,4,8,가을,114
현장확인,18750.0,43.0,26.6,11.0,18.0,서향,2.0,2.0,가능,21.0,0,0,4,3,43.0,8.621553884711779e-05,2,1,여름,213
현장확인,16450.0,54.0,25.56,7.0,10.0,남동향,2.0,1.0,가능,1.0,17,0,6,0,71.0,0.00016886187098953058,4,8,겨울,76
현장확인,15250.0,12.0,29.7,5.0,9.0,남서향,1.0,1.0,가능,2.0,10,0,1,2,22.0,4.8573163327261686e-05,5,10,여름,192
서류확인,15850.0,54.0,29.81,4.0,9.0,남동향,2.0,1.0,가능,8.0,11,0,6,0,65.0,0.00013756948581817338,4,8,가을,119
현장확인,7500.0,44.0,33.05,2.0,3.0,남서향,2.0,1.0,불가능,17.0,0,0,6,0,44.0,0.0001775088250126072,4,8,가을,149
현장확인,34550.0,50.0,21.22,5.0,15.0,서향,1.0,1.0,가능,3.0,6,0,3,2,56.0,7.638262786247309e-05,2,5,가을,496
현장확인,1550.0,39.0,23.85,4.0,15.0,서향,1.0,1.0,가능,1.0,0,0,3,2,39.0,0.0010549807263136538,8,5,가을,113
현장확인,1600.0,58.0,42.9,3.0,5.0,남서향,2.0,1.0,불가능,17.0,0,0,5,0,58.0,0.0008449883449883449,6,3,가을,110
현장확인,34950.0,75.0,17.5,4.0,14.0,남향,1.0,1.0,가능,104.0,11,0,2,2,86.0,0.00014060903331289596,5,6,가을,182
현장확인,11750.0,36.0,17.5,8.0,8.0,서향,1.0,1.0,가능,3.0,12,1,2,2,48.0,0.00023343465045592705,3,6,여름,233
전화확인,14150.0,19.0,35.02,4.0,9.0,남동향,1.0,1.0,가능,1.0,3,0,1,2,22.0,4.439663957798976e-05,5,10,여름,217
현장확인,19450.0,70.0,17.5,4.0,8.0,동향,1.0,1.0,가능,4.0,1,0,2,2,71.0,0.00020859346309217775,3,6,겨울,67
현장확인,12650.0,22.0,36.48,19.0,20.0,서향,2.0,1.0,가능,47.0,2,0,6,0,24.0,5.20074890784273e-05,4,8,가을,487
현장확인,10200.0,36.0,26.25,3.0,8.0,서향,1.0,1.0,가능,4.0,18,0,3,2,54.0,0.00020168067226890754,1,5,가을,148
전화확인,32950.0,45.0,28.88,1.0,9.0,북서향,1.0,1.0,가능,3.0,0,0,1,2,45.0,4.7288975573667814e-05,5,10,여름,221
현장확인,11000.0,61.0,22.79,2.0,2.0,북서향,2.0,2.0,가능,4.0,7,0,4,3,68.0,0.00027125134628425547,0,1,가을,524
전화확인,11700.0,5.0,27.68,9.0,10.0,동향,1.0,1.0,가능,11.0,3,0,3,2,8.0,2.4702336841065164e-05,10,5,봄,365
현장확인,1050.0,7.0,17.5,6.0,9.0,북향,1.0,1.0,불가능,58.0,3,0,2,2,10.0,0.00054421768707483,3,6,가을,96
현장확인,11300.0,71.0,34.71,4.0,9.0,남동향,1.0,1.0,가능,18.0,5,1,1,2,76.0,0.00019376732114128952,3,10,여름,206
서류확인,1700.0,73.0,29.6,5.0,9.0,동향,1.0,1.0,가능,8.0,0,0,1,2,73.0,0.0014507154213036564,7,6,가을,100
전화확인,14600.0,54.0,17.5,2.0,2.0,남동향,1.0,1.0,가능,11.0,10,0,2,2,64.0,0.00025048923679060666,3,6,겨울,39
현장확인,8900.0,44.0,39.67,3.0,4.0,북동향,2.0,1.0,가능,17.0,0,1,5,0,44.0,0.00012462365073655408,4,3,여름,236
현장확인,32150.0,71.0,19.93,6.0,19.0,동향,1.0,1.0,가능,16.0,4,0,2,2,75.0,0.00011705042298121186,5,6,가을,132
현장확인,40400.0,29.0,27.46,8.0,12.0,서향,1.0,1.0,가능,34.0,4,0,3,2,33.0,2.9746237551650283e-05,10,5,가을,476
현장확인,17050.0,44.0,21.28,11.0,12.0,서향,1.0,1.0,불가능,47.0,0,0,3,2,44.0,0.00012127091923356779,2,5,가을,145
현장확인,11250.0,17.0,21.23,4.0,8.0,동향,1.0,1.0,가능,6.0,9,1,3,2,26.0,0.00010886062699534201,2,5,여름,246
현장확인,16150.0,2.0,35.44,8.0,13.0,남향,1.0,1.0,불가능,30.0,12,0,1,2,14.0,2.4460300931588035e-05,5,10,가을,485
현장확인,18950.0,1.0,37.13,1.0,19.0,서향,1.0,1.0,가능,5.0,0,0,1,2,1.0,1.4212348114412243e-06,5,10,가을,485
현장확인,18200.0,10.0,30.64,6.0,6.0,서향,2.0,1.0,불가능,28.0,12,0,6,0,22.0,3.945141020859036e-05,4,8,봄,348
현장확인,15850.0,17.0,28.31,17.0,21.0,동향,1.0,1.0,불가능,22.0,8,0,3,2,25.0,5.571483808710904e-05,2,5,가을,183
현장확인,1950.0,46.0,17.5,5.0,6.0,남서향,1.0,1.0,불가능,35.0,0,0,2,2,46.0,0.0013479853479853481,7,6,봄,331
현장확인,1450.0,38.0,24.01,4.0,10.0,남서향,2.0,1.0,가능,8.0,0,0,6,0,38.0,0.0010914992316419883,6,4,겨울,68
서류확인,1850.0,18.0,41.8,2.0,3.0,북향,2.0,1.0,불가능,17.0,12,1,5,0,30.0,0.00038794775636880903,4,3,여름,558
현장확인,9350.0,62.0,28.17,4.0,5.0,서향,2.0,1.0,가능,29.0,7,0,6,0,69.0,0.0002619694406952441,4,8,가을,507
현장확인,10050.0,11.0,24.52,8.0,10.0,동향,1.0,1.0,가능,10.0,5,0,3,2,16.0,6.492821374367964e-05,2,5,가을,150
현장확인,10700.0,25.0,29.89,4.0,6.0,남동향,2.0,1.0,가능,8.0,1,0,6,0,26.0,8.129496627822265e-05,4,8,가을,144
전화확인,14200.0,26.0,31.46,2.0,6.0,남향,1.0,1.0,가능,4.0,9,0,1,2,35.0,7.83467492814484e-05,5,10,가을,99
현장확인,1150.0,61.0,28.01,10.0,12.0,서향,1.0,1.0,가능,34.0,13,0,3,2,74.0,0.0022973161758999116,9,6,여름,256
현장확인,13550.0,10.0,27.48,3.0,7.0,서향,2.0,1.0,가능,17.0,9,0,6,0,19.0,5.102671114047385e-05,4,8,가을,146
현장확인,13500.0,72.0,43.48,4.0,13.0,북향,2.0,1.0,가능,17.0,22,0,5,0,94.0,0.00016014174247844904,4,3,가을,182
현장확인,2400.0,20.0,29.15,4.0,15.0,동향,1.0,1.0,불가능,38.0,5,0,1,2,25.0,0.000357347055460263,3,10,봄,326
현장확인,14000.0,40.0,17.5,19.0,20.0,남향,1.0,1.0,불가능,38.0,2,0,2,2,42.0,0.00017142857142857143,5,6,봄,367
현장확인,16350.0,69.0,20.47,4.0,6.0,북향,1.0,1.0,가능,6.0,0,1,3,2,69.0,0.00020616431295742706,1,5,봄,295
현장확인,16450.0,15.0,17.5,6.0,6.0,서향,1.0,1.0,불가능,6.0,0,1,2,2,15.0,5.2105948762483714e-05,5,6,여름,617
서류확인,2800.0,22.0,19.83,3.0,6.0,북향,1.0,1.0,불가능,6.0,8,0,2,2,30.0,0.0005403068943159715,3,6,여름,191
현장확인,39700.0,6.0,38.44,11.0,15.0,북서향,1.0,1.0,불가능,2.0,10,0,1,2,16.0,1.048446071865736e-05,5,10,겨울,448
현장확인,9550.0,34.0,32.1,17.0,21.0,남서향,2.0,1.0,불가능,43.0,0,0,6,0,34.0,0.00011090995090603644,4,8,봄,352
서류확인,600.0,15.0,19.83,3.0,8.0,동향,1.0,1.0,불가능,2.0,1,0,2,2,16.0,0.0013447638258530848,7,6,가을,166
현장확인,6750.0,39.0,17.5,7.0,14.0,남향,1.0,1.0,가능,104.0,18,0,2,2,57.0,0.00048253968253968247,3,6,여름,190
현장확인,39600.0,38.0,43.33,10.0,11.0,북향,1.0,1.0,불가능,29.0,0,0,1,2,38.0,2.214622570034525e-05,5,10,여름,193
현장확인,37450.0,70.0,31.43,2.0,6.0,북동향,1.0,1.0,불가능,49.0,7,0,1,2,77.0,6.541758722097169e-05,5,10,겨울,450
전화확인,750.0,2.0,17.5,5.0,13.0,서향,1.0,1.0,가능,40.0,8,0,2,2,10.0,0.0007619047619047619,8,6,겨울,67
현장확인,34350.0,24.0,49.59,3.0,5.0,북향,2.0,1.0,불가능,17.0,19,1,5,0,43.0,2.524338586599343e-05,4,3,가을,548
서류확인,9500.0,59.0,17.5,6.0,6.0,남서향,1.0,1.0,가능,8.0,5,0,2,2,64.0,0.0003849624060150376,3,6,겨울,63
현장확인,39850.0,6.0,35.58,5.0,9.0,동향,1.0,1.0,불가능,48.0,0,0,1,2,6.0,4.23172055410149e-06,5,10,봄,297
서류확인,36400.0,0.0,17.5,10.0,16.0,북동향,1.0,1.0,가능,34.0,0,1,2,2,0.0,0.0,5,6,봄,288
현장확인,34750.0,17.0,17.5,5.0,10.0,남향,2.0,1.0,가능,2.0,8,0,6,0,25.0,4.110996916752313e-05,4,8,겨울,410
현장확인,600.0,9.0,19.83,3.0,5.0,동향,1.0,1.0,불가능,17.0,12,0,2,2,21.0,0.0017650025214321738,7,6,여름,215
현장확인,15500.0,57.0,33.97,1.0,12.0,북향,1.0,1.0,불가능,49.0,9,0,1,2,66.0,0.00012534779264436363,5,10,가을,126
현장확인,7500.0,62.0,18.2,5.0,6.0,남동향,1.0,1.0,불가능,17.0,7,0,2,2,69.0,0.0005054945054945055,3,6,가을,108
현장확인,32400.0,51.0,40.89,6.0,6.0,동향,1.0,1.0,가능,11.0,1,0,1,2,52.0,3.9250141149546056e-05,5,10,가을,131
현장확인,1950.0,25.0,27.48,4.0,7.0,서향,2.0,1.0,가능,10.0,1,0,6,0,26.0,0.000485201358563804,4,7,겨울,85
현장확인,2050.0,35.0,41.94,6.0,6.0,남향,2.0,1.0,가능,17.0,0,0,5,0,35.0,0.00040708561592053697,6,3,가을,136
현장확인,1900.0,10.0,34.28,10.0,19.0,남향,1.0,1.0,가능,40.0,0,0,1,2,10.0,0.00015353436098998954,3,10,겨울,414
현장확인,7800.0,34.0,27.69,3.0,9.0,서향,1.0,1.0,불가능,13.0,1,0,3,2,35.0,0.00016205054124880774,1,5,가을,133
현장확인,16100.0,75.0,39.32,10.0,13.0,동향,2.0,1.0,불가능,47.0,12,0,5,0,87.0,0.00013742946866924044,4,3,겨울,50
서류확인,16050.0,67.0,26.25,3.0,7.0,남서향,1.0,1.0,가능,17.0,8,0,3,2,75.0,0.0001780151312861593,1,5,여름,184
서류확인,10100.0,23.0,20.33,2.0,6.0,남향,1.0,1.0,가능,32.0,1,0,2,2,24.0,0.00011688330662874453,5,6,가을,102
현장확인,15050.0,17.0,17.5,4.0,9.0,남서향,1.0,1.0,불가능,8.0,7,0,2,2,24.0,9.1124822021832e-05,5,6,겨울,83
현장확인,7900.0,14.0,46.03,3.0,15.0,북서향,1.0,1.0,가능,42.0,14,0,1,2,28.0,7.699986525023581e-05,5,10,여름,207
서류확인,13300.0,8.0,30.1,2.0,3.0,남향,2.0,1.0,불가능,17.0,9,0,6,0,17.0,4.246496640271776e-05,4,8,겨울,43
현장확인,8650.0,45.0,17.5,4.0,6.0,남서향,1.0,1.0,불가능,17.0,0,0,2,2,45.0,0.0002972749793559042,3,6,겨울,54
전화확인,11350.0,15.0,19.72,3.0,3.0,남향,1.0,1.0,불가능,41.0,10,0,2,2,25.0,0.00011169590120720932,5,6,봄,292
현장확인,16250.0,47.0,28.65,2.0,2.0,남서향,1.0,1.0,불가능,14.0,6,0,1,2,53.0,0.00011384078399785207,5,10,가을,93
서류확인,8000.0,49.0,29.23,9.0,10.0,북향,1.0,1.0,가능,15.0,9,0,1,2,58.0,0.00024803284296955183,3,10,봄,283
서류확인,17250.0,55.0,23.05,6.0,20.0,북향,1.0,1.0,가능,44.0,5,0,3,2,60.0,0.00015090068848439122,1,5,겨울,63
현장확인,14950.0,7.0,30.48,10.0,15.0,남향,2.0,1.0,가능,20.0,9,0,6,0,16.0,3.51126677727157e-05,4,8,여름,225
전화확인,13850.0,60.0,24.16,4.0,11.0,남향,2.0,1.0,가능,28.0,8,0,6,0,68.0,0.00020321801707031342,4,8,여름,211
전화확인,38050.0,35.0,30.27,13.0,16.0,남동향,1.0,1.0,가능,34.0,2,0,1,2,37.0,3.212437167550738e-05,5,10,봄,341
전화확인,13350.0,15.0,39.01,16.0,20.0,남향,2.0,2.0,가능,33.0,3,0,4,4,18.0,3.456330701721541e-05,10,0,여름,239
현장확인,18100.0,17.0,25.12,3.0,5.0,북향,1.0,1.0,불가능,41.0,12,0,3,2,29.0,6.378224302354224e-05,2,5,여름,263
서류확인,8900.0,50.0,40.6,1.0,2.0,동향,2.0,1.0,가능,18.0,10,0,5,0,60.0,0.0001660485968893563,4,3,봄,341
현장확인,9950.0,2.0,17.5,2.0,5.0,북향,1.0,1.0,불가능,45.0,12,0,2,2,14.0,8.040201005025126e-05,5,6,여름,188
현장확인,15600.0,19.0,33.96,13.0,17.0,남향,1.0,1.0,가능,31.0,0,0,1,2,19.0,3.586421430944399e-05,5,10,가을,118
현장확인,37900.0,30.0,31.63,6.0,10.0,서향,1.0,1.0,가능,32.0,8,0,1,2,38.0,3.1698973203523256e-05,5,10,겨울,448
현장확인,9400.0,28.0,31.7,5.0,7.0,동향,2.0,1.0,가능,17.0,0,0,6,0,28.0,9.396603798912679e-05,4,8,가을,97
현장확인,7400.0,10.0,29.75,5.0,6.0,동향,2.0,1.0,가능,4.0,7,0,6,0,17.0,7.722007722007723e-05,4,8,가을,159
현장확인,1850.0,50.0,40.89,6.0,6.0,동향,1.0,1.0,가능,11.0,0,0,1,2,50.0,0.0006609691129133535,8,9,여름,203
서류확인,12600.0,49.0,20.65,2.0,2.0,북향,1.0,1.0,가능,39.0,3,0,3,2,52.0,0.0001998539528805873,1,5,가을,132
전화확인,16500.0,14.0,18.1,4.0,8.0,동향,1.0,1.0,불가능,4.0,14,1,2,2,28.0,9.375523187677883e-05,5,6,여름,221
현장확인,10650.0,55.0,19.71,8.0,12.0,남서향,1.0,1.0,불가능,29.0,13,0,2,2,68.0,0.0003239460439280363,3,6,가을,112
현장확인,33200.0,29.0,17.5,3.0,10.0,남서향,1.0,1.0,불가능,3.0,0,0,2,2,29.0,4.991394148020654e-05,5,6,겨울,85
전화확인,1050.0,31.0,19.57,9.0,10.0,동향,2.0,1.0,불가능,35.0,2,0,6,0,33.0,0.0016059566391707426,6,4,가을,472
현장확인,16700.0,22.0,19.83,4.0,4.0,북향,1.0,1.0,불가능,17.0,0,0,2,2,22.0,6.64329434927422e-05,5,6,겨울,407
현장확인,7400.0,23.0,37.55,6.0,6.0,동향,2.0,1.0,가능,17.0,5,0,6,0,28.0,0.00010076654550689172,4,8,가을,159
전화확인,33650.0,63.0,17.5,4.0,4.0,남동향,1.0,1.0,불가능,17.0,5,0,2,2,68.0,0.00011547442156654639,5,6,가을,173
전화확인,17750.0,68.0,29.95,3.0,9.0,동향,2.0,1.0,가능,32.0,12,0,6,0,80.0,0.00015048555103576385,4,8,가을,169
현장확인,700.0,66.0,19.83,8.0,9.0,남서향,1.0,1.0,불가능,17.0,18,1,2,2,84.0,0.006051437216338881,9,6,여름,230
현장확인,39050.0,63.0,17.5,4.0,16.0,북향,1.0,1.0,불가능,15.0,7,1,2,2,70.0,0.00010243277848911651,5,6,여름,221
전화확인,12150.0,14.0,22.45,12.0,15.0,남동향,1.0,1.0,가능,15.0,10,0,3,2,24.0,8.798702191426765e-05,2,5,겨울,443
현장확인,37800.0,19.0,42.57,3.0,4.0,동향,1.0,1.0,가능,10.0,1,0,1,2,20.0,1.2428952997428451e-05,5,10,겨울,65
현장확인,500.0,21.0,37.73,5.0,9.0,북서향,1.0,1.0,불가능,41.0,15,0,1,2,36.0,0.0019082957858468062,9,6,여름,274
현장확인,8500.0,28.0,34.46,1.0,8.0,북향,1.0,1.0,불가능,33.0,5,0,1,2,33.0,0.0001126625926052371,5,10,가을,123
서류확인,34850.0,51.0,40.89,6.0,6.0,서향,1.0,1.0,불가능,11.0,7,0,1,2,58.0,4.0701283107949975e-05,5,10,겨울,444
현장확인,16550.0,35.0,28.98,18.0,19.0,북향,1.0,1.0,가능,25.0,0,0,1,2,35.0,7.297459024767576e-05,5,10,가을,129
현장확인,10150.0,42.0,32.21,2.0,2.0,남향,1.0,1.0,불가능,10.0,3,0,1,2,45.0,0.00013764351247891378,5,10,가을,494
현장확인,2250.0,67.0,27.46,2.0,3.0,서향,2.0,1.0,불가능,17.0,0,1,6,0,67.0,0.0010844056000647406,6,4,여름,212
서류확인,14900.0,29.0,36.96,4.0,4.0,남향,2.0,2.0,가능,5.0,10,0,4,4,39.0,7.081844330166477e-05,2,0,가을,147
서류확인,11400.0,68.0,23.77,12.0,12.0,동향,1.0,1.0,불가능,31.0,2,0,3,2,70.0,0.0002583235539416484,0,5,겨울,48
현장확인,13750.0,73.0,19.8,3.0,6.0,북동향,1.0,1.0,가능,6.0,6,0,2,2,79.0,0.0002901744719926538,3,6,가을,145
현장확인,11700.0,22.0,48.6,2.0,3.0,북향,2.0,1.0,불가능,17.0,14,1,5,0,36.0,6.331117442228552e-05,4,3,봄,314
현장확인,1700.0,72.0,17.5,4.0,8.0,동향,1.0,1.0,불가능,4.0,6,0,2,2,78.0,0.0026218487394957983,9,6,겨울,92
현장확인,10900.0,68.0,36.92,4.0,19.0,남동향,2.0,2.0,불가능,18.0,16,0,4,4,84.0,0.00020873299074617073,0,0,겨울,417
현장확인,10850.0,0.0,18.87,4.0,16.0,동향,1.0,1.0,가능,54.0,0,1,2,2,0.0,0.0,5,6,여름,230
전화확인,11600.0,17.0,19.04,19.0,21.0,남향,1.0,1.0,가능,40.0,9,0,2,2,26.0,0.00011771950159374094,5,6,겨울,6
현장확인,9400.0,47.0,17.5,2.0,4.0,북동향,1.0,1.0,불가능,17.0,0,0,2,2,47.0,0.00028571428571428574,3,6,가을,93
현장확인,2200.0,55.0,28.0,4.0,4.0,북동향,1.0,1.0,불가능,47.0,0,0,3,2,55.0,0.0008928571428571429,8,5,여름,205
현장확인,14050.0,39.0,19.88,6.0,8.0,남동향,1.0,1.0,가능,45.0,1,0,2,2,40.0,0.00014320800246317767,5,6,봄,355
현장확인,35000.0,65.0,17.5,4.0,15.0,북서향,1.0,1.0,가능,19.0,0,0,2,2,65.0,0.00010612244897959184,5,6,가을,115
현장확인,12500.0,60.0,17.5,1.0,7.0,남향,1.0,1.0,불가능,28.0,7,0,2,2,67.0,0.0003062857142857143,3,6,겨울,4
현장확인,18750.0,56.0,36.36,2.0,3.0,남향,2.0,1.0,불가능,17.0,0,0,6,0,56.0,8.214154748808214e-05,4,8,겨울,63
현장확인,2150.0,52.0,26.44,2.0,4.0,남향,1.0,1.0,가능,4.0,14,0,3,2,66.0,0.0011610315589487387,7,5,가을,154
서류확인,1750.0,10.0,29.92,4.0,7.0,서향,2.0,1.0,가능,6.0,19,0,6,0,29.0,0.0005538579067990832,6,7,가을,97
현장확인,16600.0,56.0,32.49,7.0,14.0,남향,1.0,1.0,불가능,43.0,3,0,1,2,59.0,0.00010939417874637979,5,10,가을,547
현장확인,12200.0,16.0,25.58,7.0,7.0,서향,2.0,1.0,가능,4.0,8,0,6,0,24.0,7.690434381368642e-05,4,8,겨울,75
서류확인,19250.0,62.0,27.32,5.0,5.0,북향,1.0,1.0,불가능,24.0,16,0,3,2,78.0,0.00014831435036413075,1,5,가을,494
현장확인,11350.0,7.0,34.64,3.0,3.0,서향,1.0,1.0,가능,23.0,3,0,1,2,10.0,2.543467865826983e-05,5,10,겨울,369
전화확인,7700.0,9.0,35.28,9.0,9.0,북서향,1.0,1.0,불가능,27.0,9,0,1,2,18.0,6.626027034190299e-05,5,10,봄,308
현장확인,12450.0,54.0,39.5,3.0,6.0,동향,2.0,1.0,가능,1.0,0,0,5,0,54.0,0.00010980631386304712,4,3,여름,189
서류확인,9350.0,14.0,24.09,21.0,21.0,남동향,2.0,1.0,가능,4.0,0,0,6,0,14.0,6.215550864294546e-05,4,8,겨울,11
현장확인,12450.0,23.0,25.01,16.0,16.0,남동향,1.0,1.0,불가능,46.0,0,0,3,2,23.0,7.386603591495128e-05,2,5,겨울,81
서류확인,40200.0,53.0,17.5,3.0,4.0,북향,1.0,1.0,불가능,1.0,7,0,2,2,60.0,8.528784648187633e-05,5,6,겨울,442
전화확인,32400.0,40.0,20.84,6.0,8.0,남동향,1.0,1.0,가능,6.0,3,0,3,2,43.0,6.368332503969101e-05,2,5,여름,267
현장확인,15500.0,12.0,48.1,4.0,5.0,서향,2.0,1.0,가능,1.0,0,0,5,0,12.0,1.609549996646771e-05,4,3,여름,198
현장확인,33400.0,26.0,36.3,5.0,5.0,서향,2.0,1.0,가능,17.0,5,0,6,0,31.0,2.556869731611158e-05,4,8,가을,101
현장확인,16700.0,32.0,17.5,14.0,14.0,남향,2.0,2.0,가능,45.0,2,0,4,3,34.0,0.00011633875106929,2,1,겨울,67
현장확인,1950.0,38.0,17.5,9.0,9.0,동향,1.0,1.0,불가능,6.0,3,0,2,2,41.0,0.0012014652014652014,8,6,여름,242
현장확인,11800.0,55.0,35.71,2.0,3.0,동향,2.0,2.0,불가능,40.0,0,0,4,4,55.0,0.00013052413747276792,1,0,겨울,46
현장확인,40000.0,16.0,27.45,12.0,16.0,서향,1.0,1.0,가능,6.0,12,0,3,2,28.0,2.5500910746812387e-05,10,5,가을,511
전화확인,33300.0,5.0,35.98,5.0,8.0,동향,2.0,1.0,불가능,1.0,10,0,6,0,15.0,1.2519467772386062e-05,4,8,여름,188
전화확인,12550.0,61.0,20.15,17.0,18.0,동향,1.0,1.0,불가능,36.0,0,0,2,2,61.0,0.0002412187478374344,3,6,가을,150
현장확인,34450.0,26.0,29.89,4.0,6.0,남향,2.0,1.0,가능,8.0,0,1,6,0,26.0,2.5249815360725174e-05,4,8,가을,163
전화확인,14500.0,3.0,26.87,14.0,15.0,남동향,1.0,1.0,불가능,18.0,1,0,3,2,4.0,1.0266545179215379e-05,10,5,가을,525
서류확인,37800.0,58.0,17.5,4.0,7.0,북향,1.0,1.0,불가능,17.0,13,1,2,2,71.0,0.00010733182161753591,5,6,겨울,399
현장확인,33800.0,26.0,22.87,4.0,9.0,남향,2.0,1.0,불가능,17.0,2,0,6,0,28.0,3.622222854673832e-05,4,8,겨울,82
전화확인,13200.0,30.0,32.53,15.0,21.0,서향,1.0,1.0,불가능,5.0,0,0,1,2,30.0,6.986557862672218e-05,5,10,가을,156
현장확인,16500.0,46.0,17.5,5.0,7.0,동향,1.0,1.0,불가능,6.0,0,0,2,2,46.0,0.0001593073593073593,5,6,겨울,79
현장확인,7950.0,66.0,33.05,4.0,5.0,서향,2.0,1.0,불가능,17.0,0,1,6,0,66.0,0.0002511917335084064,4,8,여름,253
현장확인,17750.0,18.0,17.5,13.0,13.0,남향,2.0,1.0,불가능,15.0,8,0,6,0,26.0,8.370221327967806e-05,4,8,여름,219
서류확인,13000.0,72.0,19.99,3.0,3.0,남향,1.0,1.0,가능,5.0,1,0,2,2,73.0,0.0002809096856120368,3,6,가을,509
현장확인,13950.0,24.0,21.03,5.0,20.0,남향,1.0,1.0,가능,35.0,0,0,3,2,24.0,8.18083741096948e-05,2,5,가을,159
현장확인,40900.0,4.0,23.21,1.0,5.0,동향,1.0,1.0,불가능,22.0,5,0,3,2,9.0,9.480779825743267e-06,10,5,가을,167
현장확인,7050.0,1.0,17.5,2.0,7.0,서향,2.0,1.0,가능,29.0,5,0,6,0,6.0,4.86322188449848e-05,4,8,겨울,450
현장확인,13250.0,61.0,29.15,7.0,18.0,동향,1.0,1.0,불가능,31.0,15,0,1,2,76.0,0.00019677012201042106,3,10,봄,277
현장확인,14050.0,32.0,39.12,4.0,14.0,남서향,2.0,1.0,가능,30.0,10,1,5,0,42.0,7.641420867628758e-05,4,3,여름,253
현장확인,14400.0,60.0,17.5,12.0,14.0,남향,1.0,1.0,가능,104.0,4,0,2,2,64.0,0.00025396825396825396,3,6,겨울,53
